"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Kingdomino: The Lost Treasures","Expansion","For Sale","USD",7,"USD",5,"Blue Orange (EU)","1901","N/A","N/A",24,"464263","790303","","0000-00-00","",""
"Forbidden Legacy","Standalone","For Sale","N/A","N/A","N/A","N/A","Gamewright","1807","N/A","N/A",62,"465097","791616","","0000-00-00","",""
"The Ticket Booth","Standalone","For Sale","USD",19.99,"USD",19.99,"Grandpa Beck's Games","2533","N/A","N/A",15,"465481","792279","","0000-00-00","July 2026",""
"Keep the Heroes Out!: Playing with Fire","Expansion","For Sale","N/A","N/A","USD",20,"Brueh Games Inc.","2565","N/A","N/A",13,"433316","735686","","2025-09-00","",""
"Keep the Heroes Out!","Standalone","For Sale","USD",70,"USD",65,"Brueh Games Inc.","2565","N/A","N/A",29,"333255","554709","","2022-08-00","",""
"Keep the Heroes Out!: Boss Battles","Expansion","For Sale","USD",65,"USD",60,"Brueh Games Inc.","2565","N/A","N/A",19,"394150","670501","","2024-08-00","",""
"The Hunt","Standalone","For Sale","USD",50,"N/A","N/A","Don't Panic Games","Ares Games booth #229","N/A","N/A",22,"440627","800325","DPG1142","0000-00-00","May 2026",""
"The Old King's Crown","Standalone","For Sale","USD",90,"N/A","N/A","Eerie Idol Games","Booth #1555, Room #126","N/A","N/A",188,"357873","601791","","2025-09-00","",""
"ZeroDay.exe","Standalone","Demo","N/A","N/A","N/A","N/A","PudKat Games","2139","N/A","N/A",11,"417745","707734","","2026-07-00","",""
"Soar","Standalone","For Sale","USD",29.99,"N/A","N/A","IV Studio","3043","N/A","N/A",57,"464147","790124","","0000-00-00","",""
"Kittens in Space","Standalone","For Sale","USD",20,"USD",20,"Dead Alive Games","2766","N/A","N/A",18,"446480","759014","","2025-12-00","",""
"Cat Rescue (Second Edition)","Standalone","For Sale","USD",20,"USD",20,"Dead Alive Games","2766","N/A","N/A",17,"446478","759011","","2025-10-01","",""
"No No Puppy!","Standalone","Demo","USD",20,"USD",20,"Dead Alive Games","2766","N/A","N/A",10,"468069","796934","DAG0701","0000-00-00","Q4 2026",""
"Lunar Rush: Innovations","Expansion","For Sale","USD",70,"USD",65,"Dead Alive Games","2766","N/A","N/A",14,"457536","778969","","2026-10-31","",""
"Forest Shuffle: Smoky Mountains","Standalone","For Sale","N/A","N/A","N/A","N/A","Lookout Games","1109","N/A","N/A",161,"463296","788506","LOG0195","2026-10-00","",""
"Dragon Overload","Standalone","Demo","N/A","N/A","N/A","N/A","Lookout Games","1109, 817","N/A","N/A",7,"467495","795889","","2026-08-00","",""
"Honeycomb Hustle","Standalone","For Sale","USD",35,"USD",30,"Last Night Games","2209","N/A","N/A",17,"462961","787957","LNG2026HONEY","0000-00-00","Q2 2026",""
"Five Card Spud","Standalone","For Sale","USD",15,"USD",12,"Marmot Card Games","Booth #2209","N/A","N/A",8,"464154","790134","","0000-00-00","Q2 2026",""
"Peak to Peak","Standalone","For Sale","USD",15,"USD",12,"Marmot Card Games","Booth #2209","N/A","N/A",10,"464155","790135","MCG2026PTP","2026-06-00","",""
"Witch Hunt 1649","Standalone","For Sale","USD",19.95,"N/A","N/A","Central Michigan University Press","Booth 2758","N/A","N/A",15,"366500","763509","","2025-00-00","Q1 2026",""
"Pop Art","Standalone","For Sale","USD",25,"USD",25,"Road To Infamy Games (R2i Games)","Allplay event room #140","N/A","N/A",28,"452187","769318","","2026-08-00","",""
"Food Truck Fury","Standalone","Demo","N/A","N/A","N/A","N/A","Van Ryder Games","Room 125","N/A","N/A",38,"472256","803725","","0000-00-00","SPIEL '26",""
"The Path of the Priest","Standalone","For Sale","USD",10,"N/A","N/A","Detestable Games","357","N/A","N/A",101,"438732","803542","DTS-10100-EN","2026-07-30","",""
"Parks & Potions","Standalone","For Sale","USD",35,"N/A","N/A","Moon Saga Workshop","2953","N/A","N/A",38,"414927","702675","","2025-10-01","",""
"Wizard Community College","Standalone","For Sale","USD",20,"N/A","N/A","Moon Saga Workshop","2953","N/A","N/A",21,"453916","772766","","2026-00-00","",""
"Àiyé","Standalone","For Sale","USD",35,"N/A","N/A","Moon Saga Workshop","2953","N/A","N/A",53,"322626","789855","","0000-00-00","",""
"FluentSea","Standalone","Demo","N/A","N/A","N/A","N/A","Lioness Games","2743","N/A","N/A",10,"466329","794001","","0000-00-00","",""
"Primacy","Standalone","Demo","N/A","N/A","N/A","N/A","Spielcraft Games","Hall B : Orange, Table 38","N/A","N/A",12,"377946","645404","","2026-00-00","",""
"One in a Million","Standalone","Demo","N/A","N/A","N/A","N/A","Spielcraft Games, Everything's on the Table",", ","N/A","N/A",12,"466074","793556","","2026-00-00","",""
"Gnomeville","Standalone","Demo","N/A","N/A","N/A","N/A","Adam's Apple Games, LLC","1443","N/A","N/A",44,"455727","775700","","0000-00-00","Q3 2026",""
"Defenders of the Dictionary","Standalone","Demo","N/A","N/A","N/A","N/A","Adam's Apple Games, LLC","1443","N/A","N/A",31,"388641","661566","","2024-00-00","Q3 2026",""
"Tatsumi","Standalone","For Sale","N/A","N/A","N/A","N/A","Adam's Apple Games, LLC","1443","N/A","N/A",29,"366089","622033","","2025-10-00","Q1 2026",""
"The Gang: Deluxe Edition","Standalone","For Sale","USD",39.95,"USD",35.96,"Thames & Kosmos","2605","N/A","N/A",50,"462191","786673"," 683890","2026-07-30","Q3 2026",""
"Temple Twist","Standalone","For Sale","USD",29.95,"USD",26.96,"KOSMOS","2605","N/A","N/A",15,"462360","786990"," 684590","0000-00-00","Q2 2026",""
"The Crew: Journey to the Ends of the Earth","Standalone","For Sale","USD",14.95,"USD",13.46,"KOSMOS","2605","N/A","N/A",108,"462192","786675","691866","2026-00-00","Q3 2026",""
"Oh My Word","Standalone","For Sale","USD",19.95,"USD",17.96,"KOSMOS","2605","N/A","N/A",4,"432823","786994","684891","2025-08-15","Q2 2026",""
"Mind the Lines","Standalone","For Sale","N/A","N/A","N/A","N/A","Ravensburger AG","2001","N/A","N/A",27,"419639","792911","","0000-00-00","",""
"Las Vegas","Standalone","For Sale","N/A","N/A","N/A","N/A","Ravensburger AG","2001","N/A","N/A",43,"463783","789456","24903","0000-00-00","",""
"The Glorious Guilds of Buttonville","Standalone","For Sale","N/A","N/A","N/A","N/A","Ravensburger AG","2001","N/A","N/A",37,"446949","771680","24785","0000-00-00","",""
"Carcassonne Labyrinth","Standalone","Demo","N/A","N/A","N/A","N/A","Ravensburger AG","Event Hall E","N/A","N/A",44,"469594","799469","","0000-00-00","",""
"Last Lemming","Standalone","Demo","N/A","N/A","N/A","N/A","Ravensburger AG","Event Hall E","N/A","N/A",6,"472329","803891","","0000-00-00","",""
"Disney Villainous: Success at Any Cost","Standalone","For Sale","N/A","N/A","N/A","N/A","Ravensburger AG","2001","N/A","N/A",15,"463956","789847","","0000-00-00","",""
"Kobayakawa","Standalone","For Sale","N/A","N/A","N/A","N/A","Oink Games","459","N/A","N/A",23,"142325","778669","","2025-11-21","",""
"Ants","Standalone","For Sale","USD",69.99,"N/A","N/A","Capstone Games","611","N/A","N/A",109,"446699","796697","","2026-08-02","",""
"Night at the Zoo","Standalone","For Sale","USD",44.99,"N/A","N/A","Capstone Games","611","N/A","N/A",238,"457412","796406","","2026-08-05","",""
"Papyria","Standalone","For Sale","USD",59.99,"N/A","N/A","Capstone Games","611","N/A","N/A",78,"438534","796694","","2026-08-02","",""
"Trials of Maya","Standalone","Demo","N/A","N/A","N/A","N/A","Department of Lore","","N/A","N/A",18,"429369","728946","","2026-00-00","",""
"Keep the Faith","Standalone","For Sale","N/A","N/A","N/A","N/A","Central Michigan University Press","2758","N/A","N/A",19,"450946","766925","","2025-00-00","Q1 2026",""
"Kōhaku: The Big Pond","Expansion","For Sale","USD",30,"USD",30,"Gold Seal Games","Booth 2219 (25th Century Games )","N/A","N/A",28,"442520","752420","","2027-04-00","",""
"Surplus of Sloths","Standalone","For Sale","USD",14.99,"USD",12,"Weird Giraffe Games","2606","N/A","N/A",15,"440554","749261","","0000-00-00","Q1 2026",""
"Reef & Ruins","Standalone","For Sale","USD",30,"USD",30,"Weird Giraffe Games","2606","N/A","N/A",35,"427036","725019","","2025-10-00","",""
"Leaves","Standalone","For Sale","USD",21,"USD",17,"Play With Us Design (玩聚設計)","2665","N/A","N/A",19,"469490","799288","","0000-00-00","",""
"0ops!","Standalone","For Sale","USD",21,"USD",17,"Play With Us Design (玩聚設計)","2665","N/A","N/A",15,"469624","799522","","0000-00-00","",""
"AVES","Standalone","For Sale","USD",21,"USD",17,"Play With Us Design (玩聚設計)","2665","N/A","N/A",16,"224122","799523","","0000-00-00","",""
"Club of Cthulhu","Standalone","For Sale","USD",34,"USD",34,"Play With Us Design (玩聚設計)","2665","N/A","N/A",26,"445785","757906","","2025-05-17","",""
"Soulaween","Standalone","For Sale","USD",34,"USD",34,"Play With Us Design (玩聚設計)","2665","N/A","N/A",16,"269766","717558","","0000-00-00","",""
"Shape it","Standalone","For Sale","USD",19.99,"USD",19.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",9,"463681","789266","RANSHA01EN","2026-04-22","",""
"Leaf It!","Standalone","For Sale","USD",14.99,"USD",14.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",8,"468567","797760","ESLI01EN","2026-06-03","",""
"Excursions","Standalone","Demo","N/A","N/A","N/A","N/A","Kinson Key Games","2842","N/A","N/A",211,"468800","798195","","2027-00-00","",""
"Galactic Cruise: Perfect Planning Promo Card","Expansion","For Sale","USD",3,"USD",3,"Kinson Key Games","2842","N/A","N/A",85,"470410","800816","","0000-00-00","",""
"Canal Houses","Standalone","For Sale","USD",16.99,"USD",16.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",39,"404845","798468","GJBBELL-EN","2026-04-15","",""
"Akropolis: Pantheon","Expansion","For Sale","USD",16.99,"USD",16.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",62,"461828","790546","","2026-04-15","",""
"Forage","Standalone","For Sale","USD",24.99,"N/A","N/A","Flatout Games","403","N/A","N/A",148,"458390","780472","","0000-00-00","Q3 2026",""
"Honeypot","Standalone","For Sale","USD",24.99,"N/A","N/A","Flatout Games","403","N/A","N/A",114,"458391","780473","","0000-00-00","Q3 2026",""
"Cascadia: Alpine Lakes","Standalone","For Sale","USD",49.99,"N/A","N/A","Flatout Games","403","N/A","N/A",208,"446815","759579","","0000-00-00","Q3 2026",""
"Panic Lab","Standalone","For Sale","USD",16.99,"USD",16.99,"Hachette Boardgames USA","Booth 2435","N/A","N/A",14,"121073","801917","GBPL-US","2026-06-00","",""
"The Happiest Cat In The World","Standalone","Demo","USD",30,"N/A","N/A","Rebel Studio","","N/A","N/A",15,"463717","789343","","0000-00-00","",""
"Super Auto Pets Card Battle: Bonus Pack 1","Expansion","For Sale","USD",5,"USD",5,"Plaid Hat Games","2229","N/A","N/A",7,"475351","809286","","2026-07-00","",""
"DC Deck-Building Game: The Adventures of Supergirl & Lobo","Standalone","For Sale","USD",29.99,"N/A","N/A","Cryptozoic Entertainment","801","N/A","N/A",6,"475315","809214","","0000-00-00","",""
"Adventure Time Card Wars: 2026 Convention Hero Pack","Expansion","For Sale","USD",13.99,"N/A","N/A","Cryptozoic Entertainment","801","N/A","N/A",4,"475321","809226","","0000-00-00","",""
"The Conjuring of Lucipurr","Standalone","For Sale","USD",19.99,"N/A","N/A","Cryptozoic Entertainment","801","N/A","N/A",4,"475334","809258","","0000-00-00","",""
"DC Deck-Building Game: Unique Starters Pack 1","Expansion","For Sale","USD",13.99,"N/A","N/A","Cryptozoic Entertainment","801","N/A","N/A",5,"475316","809217","","0000-00-00","",""
"Tsuro","Standalone","For Sale","USD",50,"USD",40,"Calliope Games","1803","N/A","N/A",11,"16992","776091","CLP031","2025-11-00","",""
"Tsuro","Standalone","For Sale","USD",400,"N/A","N/A","Calliope Games","1803","N/A","N/A",9,"16992","600316","","2025-05-00","",""
"Pressed","Standalone","For Sale","USD",20,"USD",20,"Play to Z","1649","N/A","N/A",3,"466969","795111","","0000-00-00","",""
"Wee Folk","Standalone","For Sale","USD",20,"USD",20,"Play to Z","1649","N/A","N/A",7,"440808","749791","","0000-00-00","",""
"HeroQuest: Wizards of Morcar","Expansion","For Sale","N/A","N/A","N/A","N/A","Avalon Hill","","N/A","N/A",23,"456824","777609","","0000-00-00","",""
"Mountain Goats: Legacy","Standalone","For Sale","USD",40,"USD",40,"Allplay","2119","N/A","N/A",434,"460712","784368","","0000-00-00","",""
"Enchanted Ivy","Standalone","For Sale","USD",20,"USD",20,"Allplay","2119","N/A","N/A",473,"460716","784372","","2026-10-00","",""
"Enchanted Ivy: A Grand Birthday","Expansion","For Sale","USD",7,"USD",7,"Allplay","2119","N/A","N/A",366,"462497","787228","","0000-00-00","",""
"Jibber Jabble","Standalone","For Sale","USD",10,"USD",10,"Allplay","2119","N/A","N/A",377,"466909","795005","","0000-00-00","Q3 2026",""
"Stonk Market","Standalone","For Sale","USD",10,"USD",10,"Allplay","2119","N/A","N/A",277,"466911","795007","","0000-00-00","Q3 2026",""
"Container","Standalone","For Sale","USD",40,"USD",40,"Allplay","2119","N/A","N/A",537,"453740","772438","","2026-08-00","",""
"More Containers","Expansion","For Sale","USD",20,"USD",20,"Allplay","2119","N/A","N/A",338,"468181","797079","","0000-00-00","Q2 2026",""
"Golden Goal","Standalone","For Sale","USD",10,"USD",10,"Allplay","2119","N/A","N/A",286,"466908","795004","","0000-00-00","Q2 2026",""
"Le Chocolat","Standalone","For Sale","USD",10,"USD",10,"Allplay","2119","N/A","N/A",324,"466907","795002","","0000-00-00","Q2 2026",""
"High Society","Standalone","For Sale","USD",20,"USD",20,"Allplay","2119","N/A","N/A",370,"220","779075","","2025-11-00","",""
"Piñatas","Standalone","For Sale","USD",20,"USD",20,"Allplay","2119","N/A","N/A",332,"446249","758623","","2025-10-00","",""
"Wordsy","Standalone","For Sale","USD",20,"USD",20,"Allplay","2119","N/A","N/A",264,"208480","733021","","2025-09-00","",""
"Fiction: Banned Books","Standalone","For Sale","USD",20,"USD",20,"Allplay","2119","N/A","N/A",311,"453703","772367","","2025-00-00","",""
"Mountain Goats","Standalone","For Sale","USD",10,"USD",10,"Allplay","2119","N/A","N/A",361,"63975","784485","","2026-00-00","",""
"The Lord of the Rings: The Two Towers – Trick-Taking Game","Standalone","For Sale","USD",26.99,"USD",26.99,"Office Dog","Asmodee Booth 817","N/A","N/A",124,"448271","762066","ODLO05en","0000-00-00","",""
"The Lord of the Rings: Circle of Conflict","Standalone","For Sale","USD",49.99,"USD",49.99,"Office Dog","Asmodee Booth 817","N/A","N/A",65,"462620","787400","ODGRWM0201EN","2026-11-06","",""
"Cozy Stickerville","Standalone","For Sale","USD",39.99,"USD",39.99,"Unexpected Games","Asmodee Booth 817","N/A","N/A",95,"456440","777006","UGCSV0101","2026-02-06","",""
"Gunsen: The Battle for Toshi Ranbo","Standalone","Demo","N/A","N/A","N/A","N/A","Office Dog","Asmodee Booth 1109","N/A","N/A",23,"449018","763407","ODGTBF0101EN","2026-08-28","",""
"The Mandalorian: Adventures – Sworn to the Creed Expansion","Expansion","For Sale","USD",39.99,"USD",39.99,"Unexpected Games","Asmodee Booth 817","N/A","N/A",37,"462401","787080","UG07EN","2026-07-31","",""
"Phantom Ink","Standalone","For Sale","USD",20,"USD",20,"Allplay","2119","N/A","N/A",273,"330592","804220","","0000-00-00","Q3 2026",""
"Fast Out","Standalone","For Sale","USD",30,"USD",30,"Queen Games","Luma Imports: 2841","N/A","N/A",3,"459199","805123","QNG11121","2026-07-03","",""
"Out of Words","Standalone","For Sale","USD",30,"USD",30,"Queen Games","Luma Imports: 2841","N/A","N/A",5,"452572","805124","QNG10950","2026-07-03","",""
"Crime Scene Tamperer","Standalone","For Sale","USD",19.95,"USD",19.95,"Greater Than Games, LLC","2856","N/A","N/A",23,"473060","805230","CRIM-CORE","2026-08-15","",""
"Digital Detox","Standalone","For Sale","USD",19.95,"USD",19.95,"Greater Than Games, LLC","2856","N/A","N/A",11,"473062","805232","DTOX-CORE","2026-08-15","",""
"Legendary: A Marvel Deck Building Game (Second Edition)","Standalone","For Sale","USD",99.99,"N/A","N/A","Upper Deck Entertainment","1205","N/A","N/A",30,"426580","724249","","0000-00-00","",""
"Legendary: A DC Deck Building Game","Standalone","For Sale","USD",99.99,"N/A","N/A","Upper Deck Entertainment","1205","N/A","N/A",39,"458319","780359","","0000-00-00","",""
"Enemies of Gotham City","Standalone","For Sale","USD",149,"N/A","N/A","Upper Deck Entertainment","1205","N/A","N/A",40,"451424","767806","","0000-00-00","",""
"Wondrous Creatures: Winterfall","Expansion","Demo","USD",45,"N/A","N/A","Bad Comet","Envoy (ICC : Hall D : Bad Comet Games : HQ)","N/A","N/A",158,"459138","781841","","2026-00-00","",""
"Jisogi: Anime Studio Tycoon","Standalone","For Sale","USD",59.99,"N/A","N/A","Good Games Publishing","Booth 2543","N/A","N/A",145,"429845","790579","GGP036","2026-06-00","",""
"Combo Creatures: The Quick Ones","Standalone","For Sale","USD",19,"USD",20,"DV Games","2109","N/A","N/A",13,"472572","804392","DVG9705","2026-07-28","",""
"Mistborn: The Well of Ascension","Expansion","Demo","N/A","N/A","N/A","N/A","Brotherwise Games","339","N/A","N/A",63,"472577","804399","BGM9421","2026-11-18","",""
"Buttons & Bugs: Pub Crawlers","Expansion","For Sale","USD",17.99,"USD",17.99,"Cephalofair Games","351","N/A","N/A",67,"473161","805410","CPH1003","2026-09-00","",""
"Orapa Mine","Standalone","Demo","N/A","N/A","N/A","N/A","Crafty Games","155","N/A","N/A",69,"424152","805588","CFG75006","0000-00-00","Q3 2026",""
"The Secrets of Warden Keene","Standalone","Demo","USD",45,"N/A","N/A","Pandasaurus Games","215","N/A","N/A",30,"453913","804031","","0000-00-00","Oct 2026",""
"The Stormlamp Rituals","Standalone","Demo","USD",29,"N/A","N/A","PostCurious","2959","N/A","N/A",21,"469854","799879","","0000-00-00","",""
"Emerald Echoes","Standalone","For Sale","USD",75,"USD",70,"PostCurious","2959","N/A","N/A",54,"442415","752265","","2026-05-00","",""
"Camp Grizzly: Second Edition","Standalone","For Sale","N/A","N/A","N/A","N/A","Trick or Treat Studios","Booth 1161","N/A","N/A",56,"449895","764945","","2026-08-00","",""
"Strange Slot Simulator","Standalone","For Sale","N/A","N/A","USD",28,"Hobby Japan","Booth 2321（Surfin' Meeple USA)","N/A","N/A",30,"468535","797701","","0000-00-00","",""
"Galactic Cruise: Rescue Mission Promo Card","Expansion","For Sale","USD",3,"USD",3,"Kinson Key Games","2842","N/A","N/A",54,"465513","792761","","0000-00-00","",""
"Tales of Myth & Legend","Standalone","For Sale","N/A","N/A","N/A","N/A","Van Ryder Games","Room 125","N/A","N/A",55,"392823","668314","","2026-08-00","",""
"Prague Unseen","Standalone","Demo","N/A","N/A","N/A","N/A","Albi","2564","N/A","N/A",146,"457410","778660","","2026-00-00","",""
"Final Girl: The Green Terror","Expansion","For Sale","N/A","N/A","N/A","N/A","Van Ryder Games","2719","N/A","N/A",68,"438602","745243","","2026-00-00","",""
