"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Onstage","Standalone","For Sale","USD",19.99,"USD",19.99,"Arcane Wonders","","N/A","N/A",13,"417224","747266","","2024-04-00","Q1 2026",""
"Cat and the Tower","Standalone","For Sale","USD",29.99,"USD",29.99,"Arcane Wonders","","N/A","N/A",21,"424751","761371","AWG AW27CAT","2025-08-00","Q1 2026",""
"Chang'an","Standalone","For Sale","USD",44.99,"USD",44.99,"Arcane Wonders","","N/A","N/A",16,"351849","774115","AW30CHA","2026-00-00","",""
"If Then","Standalone","For Sale","USD",19.99,"USD",19.99,"Arcane Wonders","","N/A","N/A",6,"423465","718447","","2025-08-00","Q1 2026",""
"Number Chain","Standalone","For Sale","USD",17.99,"USD",17.99,"Arcane Wonders","","N/A","N/A",4,"421921","761372","","2025-08-00","Q1 2026",""
"Pyradice","Standalone","For Sale","USD",44.99,"USD",44.99,"Arcane Wonders","","N/A","N/A",17,"423170","747129","","0000-00-00","Q1 2026",""
"Raas: A Dance of Love","Standalone","Demo","USD",64.99,"N/A","N/A","Arcane Wonders","","N/A","N/A",42,"358912","603740","","2026-00-00","Q1 2026",""
"Quagmire","Standalone","For Sale","USD",30,"N/A","N/A","Perplext","1903","N/A","N/A",14,"468529","797694","PEX2003","2026-09-01","",""
"Goats & Goblins","Standalone","For Sale","USD",22,"USD",20,"B.A. Games","","N/A","N/A",14,"446580","759193","","2025-11-00","",""
"Petal","Standalone","For Sale","USD",20,"N/A","N/A","Chris Couch Games","Booth 2753","N/A","N/A",31,"462532","787282","","0000-00-00","",""
"Headliner","Standalone","Demo","N/A","N/A","N/A","N/A","Chris Couch Games","Booth 2753","N/A","N/A",32,"469247","798900","","2026-11-00","",""
"Vector","Standalone","Demo","N/A","N/A","N/A","N/A","Chris Couch Games","Booth 2753","N/A","N/A",29,"421272","714357","","0000-00-00","Q4 2026",""
"Holiday Hills: Santa and Krampus Double Expansion","Expansion","For Sale","USD",25,"N/A","N/A","Chris Couch Games","Booth 2753","N/A","N/A",19,"446476","759009","","2025-12-00","",""
"Faraway: Under Starry Skies","Expansion","For Sale","USD",10,"N/A","N/A","Pandasaurus Games","Booth #215","N/A","N/A",72,"451708","789461","","2026-02-20","",""
"Tulikko","Standalone","For Sale","USD",50,"N/A","N/A","Pandasaurus Games","Booth #215","N/A","N/A",35,"446523","789287","","2026-04-15","",""
